risorsa,url,title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,latitude,longitude,href
24822085338,https://farm5.staticflickr.com/4522/24822085338_f2ed0bbdcf_o.jpg,Palermo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,214,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (214),CC BY SA 4.0,"Piazza Santa Maria degli Angeli, Palermo",Palermo,38.118402,13.367807,https://www.flickr.com/photos/biblioteca-comunale-palermo/24822085338
24824204198,https://farm5.staticflickr.com/4521/24824204198_d62123bebf_o.jpg,Palermo - via Cavour,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,282,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (282),CC BY SA 4.0,"Palermo, via Cavour, piazza Verdi",Palermo,38.121137,13.357357,https://www.flickr.com/photos/biblioteca-comunale-palermo/24824204198
24824688528,https://farm5.staticflickr.com/4566/24824688528_52db354401_o.jpg,Palermo - via Roma,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,286,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (286),CC BY SA 4.0,"Palermo, via Roma",Palermo,38.117448,13.362808,https://www.flickr.com/photos/biblioteca-comunale-palermo/24824688528
24845796148,https://farm5.staticflickr.com/4544/24845796148_0728c8c30d_o.jpg,Palermo - via Roma,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,295,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (295),CC BY SA 4.0,"Palermo, via Roma",Palermo,38.119331,13.362218,https://www.flickr.com/photos/biblioteca-comunale-palermo/24845796148
24845878818,https://farm5.staticflickr.com/4569/24845878818_774d23288f_o.jpg,Palermo - via Borgo e chiesa di S. Lucia,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,296,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (296),CC BY SA 4.0,"Palermo, via Borgo e chiesa di S. Lucia",Palermo,38.129695,13.362421,https://www.flickr.com/photos/biblioteca-comunale-palermo/24845878818
24846812258,https://farm5.staticflickr.com/4546/24846812258_d510812de8_o.jpg,Palermo - Ponte di mare,"A. Vaccaro Cangialosi, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,317,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (317),CC BY SA 4.0,"Ponte di mare, Palermo",Palermo,38.109606,13.379491,https://www.flickr.com/photos/biblioteca-comunale-palermo/24846812258
24954547798,https://farm5.staticflickr.com/4528/24954547798_3972d328d0_o.jpg,Palermo – Piccolo Porto S. Erasmo IV.,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,337,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (337),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,38.112704,13.378536,https://www.flickr.com/photos/biblioteca-comunale-palermo/24954547798
24954625178,https://farm5.staticflickr.com/4554/24954625178_122bda1526_o.jpg,Palermo – Foro Italico e Monte Pellegrino,"Dr. Trenkler Co, Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,340,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (340),CC BY SA 4.0,"Foro Italico, Palermo",Palermo,38.115617,13.374996,https://www.flickr.com/photos/biblioteca-comunale-palermo/24954625178
24976040928,https://farm5.staticflickr.com/4568/24976040928_aae0437ed0_o.jpg,Palermo - Foro Umberto I e Monte Pellegrino visti dal mare,"F. Verderosa, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,342,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (342),CC BY SA 4.0,"Foro Umberto I, Palermo",Palermo,38.112704,13.378536,https://www.flickr.com/photos/biblioteca-comunale-palermo/24976040928
25504183677,https://farm5.staticflickr.com/4746/25504183677_0b5df55136_o.jpg,Il disastro di via Lattarini la Croce rossa sui luoghi,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,357,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (357),CC BY SA 4.0,"via Lattarini, Palermo",Palermo,38.115591,13.364567,https://www.flickr.com/photos/biblioteca-comunale-palermo/25504183677
25504289757,https://farm5.staticflickr.com/4676/25504289757_5d677c351f_o.jpg,il disastro di via Lattarini sbocchi in piazza della Borsa incordonati,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,359,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (359),CC BY SA 4.0,"Piazza della Borsa, via Lattarini, Palermo",Palermo,38.115355,13.364599,https://www.flickr.com/photos/biblioteca-comunale-palermo/25504289757
25504326307,https://farm5.staticflickr.com/4609/25504326307_6ee9dcf735_o.jpg,il disastro di via Lattarini lavori per il crollo di un muro pericolante,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,360,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (360),CC BY SA 4.0,"via Lattarini, Palermo",Palermo,38.115853,13.364535,https://www.flickr.com/photos/biblioteca-comunale-palermo/25504326307
