title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,risorsa
Palermo – Teatro Vittorio Emanuele II – Dettaglio del palco Reale,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,272,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (272),CC BY SA 4.0,"Teatro Massimo, piazza Verdi, Palermo",Palermo,43102000055
Palermo – Teatro Massimo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,270,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (270),CC BY SA 4.0,"Teatro Massimo, piazza Verdi, Palermo",Palermo,43102000275
Palermo – Teatro Massimo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,268,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (268),CC BY SA 4.0,"Teatro Massimo, piazza Verdi, Palermo",Palermo,43102000445
Palermo – Monumento Gius. Verdi,"Deavux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,266,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (266),CC BY SA 4.0,"Teatro Massimo, monumento Giuseppe Verdi, Palermo",Palermo,43102000605
Palermo – Teatro Massimo V.E.,"Stengel e Co., Dresda","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,263,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (263),CC BY SA 4.0,"Teatro Massimo, piazza Verdi, Palermo",Palermo,43181136934
Palermo – Teatro Massimo V.E.,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,262,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (262),CC BY SA 4.0,"Teatro Massimo, piazza Verdi, Palermo",Palermo,43181137654
Palermo – Teatro Vittorio Emanuele,"L. Sandron, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,261,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (261),CC BY SA 4.0,"Teatro Massimo, piazza Verdi, Palermo",Palermo,43181137904
Palermo – Villa Tasca,"Dr. Trenkler Co, Lipsia ","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,232,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (233),CC BY SA 4.0,"Villa Tasca, Palermo",Palermo,43223187864
Palermo – Villa Tasca, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,236,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (236),CC BY SA 4.0,"Villa Tasca, Palermo",Palermo,43223312444
Palermo – Villa Tasca,"F. Verderosa, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,240,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (240),CC BY SA 4.0,"Villa Tasca, Palermo",Palermo,43223463574
